"#"	"t"	"nrw-04May2018-OneLshape-ThreeXPoints X"	"nrw-04May2018-OneLshape-ThreeXPoints Y"	"nrw-04May2018-OneLshape-ThreeXPoints Z"	"nrw-04May2018-OneLshape-ThreeXPoints X(deg)"	"nrw-04May2018-OneLshape-ThreeXPoints Y(deg)"	"nrw-04May2018-OneLshape-ThreeXPoints Z(deg)"	
1	 155021.863	-032.1870	009.6999	344.1177	010.6203	026.7099	-079.7491	
2	 155036.457	-032.3422	010.6816	344.7096	012.1885	025.8445	-078.1938	
3	 155047.654	-032.1998	009.8500	344.2191	010.8578	026.0408	-079.6776	
4	 155056.758	-032.3464	010.7313	344.6765	011.1395	025.9862	-078.1902	
5	 155066.550	-032.2013	009.8666	344.1358	010.3900	026.9204	-079.3478	
6	 155076.280	-032.3498	010.7465	344.6679	011.0467	025.3270	-078.3333	
7	 155089.086	-032.2145	009.8950	344.2022	011.2006	025.8900	-079.4096	
8	 155098.850	-032.6511	012.2699	345.5767	011.7414	025.6266	-075.6971	
9	 155109.469	-032.2251	010.0252	344.2401	011.2688	026.3368	-079.1485	
10	 155117.983	-032.6610	012.2949	345.5376	012.1965	025.6061	-075.3850	
11	 155126.671	-032.2364	010.0611	344.3103	011.5115	026.2799	-079.1030	
12	 155136.175	-032.6829	012.3716	345.6806	013.1613	025.6949	-075.1637	
13	 155146.199	-032.2326	010.0416	344.2850	010.1761	027.5045	-079.1210	
14	 155157.825	-032.9389	013.4446	346.2990	013.0507	025.0460	-073.5568	
15	 155165.316	-032.2507	010.2501	344.3580	010.6351	026.2100	-078.8764	
16	 155174.097	-032.9585	013.5315	346.2886	011.9657	025.3237	-073.4730	
17	 155183.803	-032.2715	010.2145	344.3802	012.1787	025.8454	-078.7467	
18	 155199.625	-032.9834	013.5427	346.4085	014.1892	025.3181	-073.1743	
19	 155212.717	-032.2565	010.2263	344.3128	011.9211	025.7767	-078.9574	
20	 155227.133	-033.4519	015.1160	347.4940	016.3017	024.0709	-070.4426	
21	 155240.327	-032.2717	010.2962	344.2993	010.9092	025.5964	-078.9644	
22	 155249.346	-033.4302	015.1541	347.4337	014.9987	024.6576	-070.4505	
23	 155263.503	-032.2809	010.3162	344.2994	010.8749	025.8253	-078.9808	
24	 155282.255	-033.5244	015.3553	347.6252	016.8302	024.6079	-069.8847	
25	 155295.304	-032.2838	010.4021	344.3313	010.6350	025.9164	-078.7394	
26	 155310.097	-034.5896	018.3077	349.4913	019.1691	022.2462	-065.1696		
27	 155659.865	-032.2806	010.3141	344.2995	011.6424	026.1111	-078.7017	
28	 155680.783	-034.5142	018.1809	349.3558	018.1885	022.3797	-065.5651	
29	 155795.439	-032.2755	010.3158	344.2677	010.7699	026.1711	-078.8241	
30	 155810.459	-034.5729	018.3384	349.4736	018.4096	022.6509	-065.1262	
