0.00,0.00,0.00
-0.05,0.00,0.00
-0.01,0.00,0.00
-0.02,0.00,0.00
-0.06,0.00,0.00
-0.02,0.00,0.00
0.01,0.00,0.00
-0.07,0.00,-0.01
-0.05,0.00,-0.01
-0.02,0.00,0.00
-0.12,-0.01,-0.01
-0.14,0.00,-0.01
-0.13,0.00,-0.01
-0.11,0.00,-0.01
-0.15,0.00,-0.01
-0.14,0.00,-0.01
-0.20,0.00,-0.02
-0.19,0.01,-0.01
-0.21,0.00,-0.01
-0.22,0.00,-0.02
-0.25,0.00,-0.02
-0.25,0.01,-0.01
-0.26,0.01,-0.01
-0.25,0.00,-0.01
-0.27,0.00,-0.01
-0.24,0.00,-0.01
-0.28,0.01,-0.02
-0.37,0.00,-0.02
0.00,0.01,0.00
-0.29,0.00,-0.01
-0.35,0.01,-0.02
-0.42,0.00,-0.02
-0.42,0.00,-0.02
-0.46,0.01,-0.02
-0.46,0.01,-0.02
-0.38,0.00,-0.02
-0.43,0.00,-0.02
-0.46,0.00,-0.02
-0.53,0.01,-0.02
-0.49,0.00,-0.01
