Id: 7x,y,z,yaw,pitch,roll; 0.081605; 0.081192; 0.004753; -0.006678; 1.654412; -0.024213; -0.132298
Id: 7x,y,z,yaw,pitch,roll; 0.081568; 0.081139; 0.004683; -0.006921; 1.645906; -0.015811; -0.132815
Id: 7x,y,z,yaw,pitch,roll; 0.081607; 0.081195; 0.004746; -0.006674; 1.653975; -0.025073; -0.133343
Id: 7x,y,z,yaw,pitch,roll; 0.081630; 0.081175; 0.004574; -0.007285; 1.631200; -0.027981; -0.135502
Id: 7x,y,z,yaw,pitch,roll; 0.081499; 0.081086; 0.004736; -0.006684; 1.653136; -0.037157; -0.138450
Id: 7x,y,z,yaw,pitch,roll; 0.081634; 0.081147; 0.004467; -0.007704; 1.616756; -0.017896; -0.134360
Id: 7x,y,z,yaw,pitch,roll; 0.081572; 0.081157; 0.004728; -0.006723; 1.651203; -0.028191; -0.134467
Id: 7x,y,z,yaw,pitch,roll; 0.081869; 0.081349; 0.004368; -0.008117; 1.595183; -0.053737; -0.134327
Id: 7x,y,z,yaw,pitch,roll; 0.081576; 0.081146; 0.004672; -0.006932; 1.645995; -0.017024; -0.133422
Id: 7x,y,z,yaw,pitch,roll; 0.081758; 0.081192; 0.004263; -0.008606; 1.581329; -0.016436; -0.132201
Id: 7x,y,z,yaw,pitch,roll; 0.081626; 0.081206; 0.004721; -0.006779; 1.650191; -0.022226; -0.131206
Id: 7x,y,z,yaw,pitch,roll; 0.081829; 0.081211; 0.004142; -0.009143; 1.561102; -0.025058; -0.131399
Id: 7x,y,z,yaw,pitch,roll; 0.081588; 0.081162; 0.004684; -0.006888; 1.647447; -0.016235; -0.130541
Id: 7x,y,z,yaw,pitch,roll; 0.081954; 0.081280; 0.004040; -0.009684; 1.539128; -0.032788; -0.137955
Id: 7x,y,z,yaw,pitch,roll; 0.081587; 0.081148; 0.004642; -0.007059; 1.641451; -0.014307; -0.134960
Id: 7x,y,z,yaw,pitch,roll; 0.081994; 0.081289; 0.004000; -0.009956; 1.528515; -0.036837; -0.133402
