EulerX,EulerY,EulerZ,Force (in grams),camera: degrees
0,0,0,0,0
0,-0.31,0,5,0.39
-0.06,-0.62,0,10,0.78
-0.12,-1.12,0,20,1.36
-0.12,-1.75,0,25,1.56
-0.12,-2.19,0,30,1.94
-1.12,-3,0,40,2.72
0,-2.62,0,45,3.1
-0.56,-2.94,0.06,50,3.49
-0.31,-3.44,0,55,3.69
-0.19,-4.38,0,60,4.27
