x	y	z
0	-0.625	0
-0.0625	-1.3125	-0.0625
-0.0625	-1.9375	0
-0.0625	-2.1875	-0.1875
-0.125	-3.1875	-0.0625
-0.125	-3.8125	-0.25
-0.625	-4.375	-0.3125
