x	y	z
-0.0625	-0.3125	0
-0.0625	-1.4375	0
-0.0625	-2.4375	0
-0.125	-3.25	-0.0625
-0.125	-3.75	-0.25
-0.1875	-4	-0.25
-0.1875	-5.625	-0.1875
-0.1875	-6	-0.125
