x	y	z
-0.0625	-0.625	0
-0.0625	-1.5	0.0625
-0.125	-2.125	0.1875
-0.0625	-2.875	0.375
-0.125	-4.125	0.375
-0.125	-4.4375	0.625
-0.1875	-5.75	0.5625
-0.125	-6	0.4375
