2018-05-04 09:48:10	Sys:3 G:3 A:1 M:3
2018-05-04 09:48:27	Sys:3 G:3 A:1 M:3
2018-05-04 09:48:41	Sys:3 G:3 A:1 M:3
2018-05-04 09:48:54	Sys:3 G:3 A:1 M:3
2018-05-04 09:49:09	Sys:3 G:3 A:1 M:3
2018-05-04 09:49:19	Sys:3 G:3 A:1 M:3
2018-05-04 09:49:34	Sys:3 G:3 A:1 M:3
2018-05-04 09:49:51	Sys:3 G:3 A:1 M:3
2018-05-04 09:50:04	Sys:3 G:3 A:1 M:3
2018-05-04 09:50:20	Sys:3 G:3 A:1 M:3
2018-05-04 09:50:32	Sys:3 G:3 A:1 M:3
2018-05-04 09:50:45	Sys:3 G:3 A:1 M:3
2018-05-04 09:51:00	Sys:3 G:3 A:1 M:3
2018-05-04 09:51:10	Sys:3 G:3 A:1 M:3
2018-05-04 09:51:20	Sys:3 G:3 A:1 M:3
2018-05-04 09:51:29	Sys:3 G:3 A:1 M:3
2018-05-04 09:51:39	Sys:3 G:3 A:1 M:3
2018-05-04 09:51:55	Sys:3 G:3 A:1 M:3
